D_np,Lcode
ताप्लेजुंग,101
संखुवासभा,102
सोलुखुम्बु,103
ओखलढुंगा,104
खोटाङ,105
भोजपुर,106
धनकुटा,107
तेर्हथुम,108
पाँचथर,109
ईलाम,110
झापा,111
मोरङ्ग,112
सुनसरी,113
उदयपुर,114
सप्तरी,201
सिराहा,202
धनुषा,203
महोत्तरी,204
सर्लाही,205
रौतहट,206
बारा,207
पर्सा,208
दोलखा,301
सिन्धुपाल्चोक,302
रसुवा,303
धादिङ्ग,304
नुवाकोट,305
काठमाडौं,306
भक्तपुर,307
ललितपुर,308
काभ्रेपलाञ्चोक,309
रामेछाप,310
सिन्धुली,311
मकवानपुर,312
चितवन,313
गोरखा,401
मनाङ्ग,402
मुस्तांग,403
म्याग्दी,404
कास्की,405
लमजुंग,406
तनहुँ,407
नवलपरासी (पूर्व),408
स्याङ्जा,409
पर्वत,410
बागलुङ,411
रुकुम पूर्व,501
रोल्पा,502
प्यूठान,503
गुल्मी,504
अर्घाखांची,505
पाल्पा,506
नवलपरासी (पश्चिम),507
रुपन्देही,508
कपिलवस्तु,509
दाङ,510
बाँके,511
बर्दिया,512
डोल्पा,601
मुगु,602
हुम्ला,603
जुम्ला,604
कालिकोट,605
दैलेख,606
जाजरकोट,607
रुकुम पश्चिम,608
सल्यान,609
सुर्खेत,610
बाजुरा,701
बझाङ्ग,702
दार्चुला,703
बैतडी,704
डडेलधुरा,705
डोटी,706
अछाम,707
कैलाली,708
कंचनपुर,709
